reverse_design_rank,match_rank,candidate_on_off_ratio,candidate_mode,candidate_state_count,required_crossbar_size,required_weight_bits,required_adc_bits,validation_adjusted_score,relative_hardware_cost_proxy,matched_device_id,matched_study_id,matched_family,matched_on_off_ratio,matched_mode,matched_state_count_available,matched_physical_state_count,matched_parameter_source,matched_precision_basis,match_distance,ratio_log10_distance,mode_mismatch,state_count_distance,state_requirement_status,match_class,matched_evidence_coverage_fraction,matched_scenario_status,matched_scenario_reasons
1,1,80.0,ANALOG,0,256,6,8,96.05808271702742,2560.0,TiOx_03,10.1016/j.spmi.2017.10.031,TiOx,80.0,ANALOG,0,0,normalized_from_ratio,IDEALIZED_ANALOG_MAPPING,0.0,0.0,0.0,0.0,NOT_REQUIRED_OR_UNKNOWN,EXACT_DESCRIPTOR_MATCH,0.25,ASSUMPTION_SENSITIVE,absolute RON/ROFF unavailable; normalized from ratio; fixed physical state count not reported; accelerator mapping is idealized
1,2,80.0,ANALOG,0,256,6,8,96.05808271702742,2560.0,HfOx_02,10.1088/2634-4386/ac7327,HfOx,5.0,ANALOG,0,0,normalized_from_ratio,IDEALIZED_ANALOG_MAPPING,1.2041199826559246,1.2041199826559246,0.0,0.0,NOT_REQUIRED_OR_UNKNOWN,LARGE_GAP,0.25,ASSUMPTION_SENSITIVE,absolute RON/ROFF unavailable; normalized from ratio; fixed physical state count not reported; accelerator mapping is idealized
1,3,80.0,ANALOG,0,256,6,8,96.05808271702742,2560.0,TiOx_04,10.1007/s42835-019-00107-y,TiOx,76.0,GRADUAL_MULTILEVEL,0,0,normalized_from_ratio,IDEALIZED_GRADUAL_MAPPING,1.522276394711152,0.022276394711151948,1.0,0.0,NOT_REQUIRED_OR_UNKNOWN,LARGE_GAP,0.25,ASSUMPTION_SENSITIVE,absolute RON/ROFF unavailable; normalized from ratio; fixed physical state count not reported; accelerator mapping is idealized
2,1,2.128684,GRADUAL_MULTILEVEL,0,256,7,8,96.04398141982684,2560.0,TiOx_02_Pt,10.1038/s41598-019-44607-3,TiOx,2.128684,GRADUAL_MULTILEVEL,0,0,absolute,IDEALIZED_GRADUAL_MAPPING,0.0,0.0,0.0,0.0,NOT_REQUIRED_OR_UNKNOWN,EXACT_DESCRIPTOR_MATCH,0.5,ASSUMPTION_SENSITIVE,fixed physical state count not reported; accelerator mapping is idealized
2,2,2.128684,GRADUAL_MULTILEVEL,0,256,7,8,96.04398141982684,2560.0,TiOx_02_Au,10.1038/s41598-019-44607-3,TiOx,1.705978,GRADUAL_MULTILEVEL,0,0,absolute,IDEALIZED_GRADUAL_MAPPING,0.09613776956747339,0.09613776956747339,0.0,0.0,NOT_REQUIRED_OR_UNKNOWN,VERY_CLOSE_EXISTING_PROFILE,0.5,ASSUMPTION_SENSITIVE,fixed physical state count not reported; accelerator mapping is idealized
2,3,2.128684,GRADUAL_MULTILEVEL,0,256,7,8,96.04398141982684,2560.0,TiOx_02_Ni,10.1038/s41598-019-44607-3,TiOx,1.10723,GRADUAL_MULTILEVEL,0,0,absolute,IDEALIZED_GRADUAL_MAPPING,0.283873351522433,0.283873351522433,0.0,0.0,NOT_REQUIRED_OR_UNKNOWN,CLOSE_EXISTING_PROFILE,0.5,ASSUMPTION_SENSITIVE,fixed physical state count not reported; accelerator mapping is idealized
3,1,45.4,GRADUAL_MULTILEVEL,0,256,6,8,96.04297186415808,2560.0,HfOx_01,10.1109/TNANO.2024.3485213,HfOx,45.4,GRADUAL_MULTILEVEL,0,0,absolute,IDEALIZED_GRADUAL_MAPPING,0.0,0.0,0.0,0.0,NOT_REQUIRED_OR_UNKNOWN,EXACT_DESCRIPTOR_MATCH,0.5,ASSUMPTION_SENSITIVE,fixed physical state count not reported; accelerator mapping is idealized
3,2,45.4,GRADUAL_MULTILEVEL,0,256,6,8,96.04297186415808,2560.0,TiOx_04,10.1007/s42835-019-00107-y,TiOx,76.0,GRADUAL_MULTILEVEL,0,0,normalized_from_ratio,IDEALIZED_GRADUAL_MAPPING,0.2237577394236876,0.2237577394236876,0.0,0.0,NOT_REQUIRED_OR_UNKNOWN,CLOSE_EXISTING_PROFILE,0.25,ASSUMPTION_SENSITIVE,absolute RON/ROFF unavailable; normalized from ratio; fixed physical state count not reported; accelerator mapping is idealized
3,3,45.4,GRADUAL_MULTILEVEL,0,256,6,8,96.04297186415808,2560.0,TiOx_02_Pt,10.1038/s41598-019-44607-3,TiOx,2.128684,GRADUAL_MULTILEVEL,0,0,absolute,IDEALIZED_GRADUAL_MAPPING,1.328944657009245,1.328944657009245,0.0,0.0,NOT_REQUIRED_OR_UNKNOWN,LARGE_GAP,0.5,ASSUMPTION_SENSITIVE,fixed physical state count not reported; accelerator mapping is idealized
4,1,5.0,ANALOG,0,256,7,8,96.03140939601732,2560.0,HfOx_02,10.1088/2634-4386/ac7327,HfOx,5.0,ANALOG,0,0,normalized_from_ratio,IDEALIZED_ANALOG_MAPPING,0.0,0.0,0.0,0.0,NOT_REQUIRED_OR_UNKNOWN,EXACT_DESCRIPTOR_MATCH,0.25,ASSUMPTION_SENSITIVE,absolute RON/ROFF unavailable; normalized from ratio; fixed physical state count not reported; accelerator mapping is idealized
