evidence_id,metric_category,metric_name,value,unit,supporting_count,interpretation
BASELINE_RECOMMENDATION_QUALITY,DESIGN_RECOMMENDATION,Mean recommendation regret,0.4200000000000017,percentage_points,4,Average difference between the true exhaustive raw-best accuracy and the accuracy of the configuration recommended for each completely held-out device.
BASELINE_NEAR_OPTIMAL_SUCCESS,DESIGN_RECOMMENDATION,Recommendation within 0.5 pp of exhaustive raw best,75.0,percent,4,3/4 held-out devices received a recommendation within 0.5 percentage points of the true exhaustive best accuracy.
BASELINE_EXACT_COST_AWARE_MATCH,DESIGN_RECOMMENDATION,Exact cost-aware optimum match,25.0,percent,4,1/4 held-out devices matched the exhaustive cost-aware selected configuration exactly.
BASELINE_COST_AWARE_TOP3,DESIGN_RECOMMENDATION,Cost-aware Top-3 success,50.0,percent,4,2/4 held-out recommendations were within the Top-3 cost-aware candidates of the true near-optimal region.
NEAR_REGION_MAE,PREDICTION_ACCURACY,Pooled near-optimal-region MAE,0.15480037130568183,percentage_points,549,Prediction error evaluated only on configurations that are truly within the defined near-optimal accuracy region across all held-out folds.
NEAR_REGION_RMSE,PREDICTION_ACCURACY,Pooled near-optimal-region RMSE,0.5035834413400297,percentage_points,549,Root-mean-square prediction error in the decision-relevant near-optimal region.
UNCERTAINTY_ERROR_CORRELATION,UNCERTAINTY_DIAGNOSTIC,Tree-disagreement / absolute-error correlation,0.5820028553529849,pearson_correlation,980,"Positive correlation means Random-Forest tree disagreement tends to rise when prediction error rises. This is a diagnostic heuristic, not a calibrated confidence interval."
CONFIDENCE_MEAN_REGRET,UNCERTAINTY_AWARE_RECOMMENDATION,Confidence-aware mean regret,0.432500000000001,percentage_points,4,The uncertainty-aware rule changes mean regret but does not improve the current near-optimal success rate.
CONFIDENCE_SUCCESS_RATE,UNCERTAINTY_AWARE_RECOMMENDATION,Confidence-aware near-optimal success,75.0,percent,4,3/4 held-out devices succeed under the confidence-aware recommendation rule.
SEARCH_REDUCTION,SEARCH_EFFICIENCY,Unseen-device expensive-evaluation reduction,99.59183673469387,percent,245,One recommended configuration is evaluated instead of 245 exhaustive unseen-device configurations. This is not a claim of total computational-cost reduction.
INDEPENDENT_DEVICE_COUNT,EVIDENCE_LIMITATION,Independent physical devices,4.0,devices,980,"The dataset contains 980 simulated configuration rows, but only 4 independent physical devices. Generalization evidence is therefore still limited."
