device_id,scenario_id,scenario_class,parameter,scenario_value,source_type,allowed_for_main_results,interpretation
HfOx_01,EVIDENCE_BASELINE,BASELINE,all_current_supported_parameters,current_pipeline_value,REPORTED_OR_DERIVED_OR_EXPLICITLY_NORMALIZED,True,Use the current literature-grounded device description. Unknown parameters remain unknown and are not silently imputed.
HfOx_01,STATE_COUNT_UNKNOWN,MISSING_DATA,physical_state_count,DO_NOT_IMPUTE_POINT_VALUE,MISSING,True,Do not convert gradual/analog behavior into an invented fixed state count. A bounded hypothetical sweep belongs in sensitivity analysis.
HfOx_01,STATE_COUNT_SENSITIVITY,HYPOTHETICAL_SENSITIVITY,physical_state_count,2|4|8|16|32|64,ASSUMED_RANGE,False,Exploratory range only. These values are NOT literature measurements for this device and must be labeled as hypothetical.
HfOx_01,IDEALIZED_MAPPING_BASELINE,MODEL_ASSUMPTION,mapping_nonideality,idealized,ASSUMED_BASELINE,True,"Current baseline assumes idealized mapping. Noise, variability and drift are not claimed to be represented here; they are deferred to the nonideality stage."
HfOx_02,EVIDENCE_BASELINE,BASELINE,all_current_supported_parameters,current_pipeline_value,REPORTED_OR_DERIVED_OR_EXPLICITLY_NORMALIZED,True,Use the current literature-grounded device description. Unknown parameters remain unknown and are not silently imputed.
HfOx_02,ABSOLUTE_CONDUCTANCE_MISSING,MISSING_DATA,absolute_RON_ROFF,DO_NOT_IMPUTE,MISSING,True,Only the reported ON/OFF ratio is used. Absolute resistance must not be fabricated from an unsupported point estimate.
HfOx_02,STATE_COUNT_UNKNOWN,MISSING_DATA,physical_state_count,DO_NOT_IMPUTE_POINT_VALUE,MISSING,True,Do not convert gradual/analog behavior into an invented fixed state count. A bounded hypothetical sweep belongs in sensitivity analysis.
HfOx_02,STATE_COUNT_SENSITIVITY,HYPOTHETICAL_SENSITIVITY,physical_state_count,2|4|8|16|32|64,ASSUMED_RANGE,False,Exploratory range only. These values are NOT literature measurements for this device and must be labeled as hypothetical.
HfOx_02,IDEALIZED_MAPPING_BASELINE,MODEL_ASSUMPTION,mapping_nonideality,idealized,ASSUMED_BASELINE,True,"Current baseline assumes idealized mapping. Noise, variability and drift are not claimed to be represented here; they are deferred to the nonideality stage."
HfZrOx_01,EVIDENCE_BASELINE,BASELINE,all_current_supported_parameters,current_pipeline_value,REPORTED_OR_DERIVED_OR_EXPLICITLY_NORMALIZED,True,Use the current literature-grounded device description. Unknown parameters remain unknown and are not silently imputed.
HfZrOx_01,ABSOLUTE_CONDUCTANCE_MISSING,MISSING_DATA,absolute_RON_ROFF,DO_NOT_IMPUTE,MISSING,True,Only the reported ON/OFF ratio is used. Absolute resistance must not be fabricated from an unsupported point estimate.
HfZrOx_01,STATE_COUNT_UNKNOWN,MISSING_DATA,physical_state_count,DO_NOT_IMPUTE_POINT_VALUE,MISSING,True,Do not convert gradual/analog behavior into an invented fixed state count. A bounded hypothetical sweep belongs in sensitivity analysis.
HfZrOx_01,STATE_COUNT_SENSITIVITY,HYPOTHETICAL_SENSITIVITY,physical_state_count,2|4|8|16|32|64,ASSUMED_RANGE,False,Exploratory range only. These values are NOT literature measurements for this device and must be labeled as hypothetical.
HfZrOx_01,IDEALIZED_MAPPING_BASELINE,MODEL_ASSUMPTION,mapping_nonideality,idealized,ASSUMED_BASELINE,True,"Current baseline assumes idealized mapping. Noise, variability and drift are not claimed to be represented here; they are deferred to the nonideality stage."
TaOx_01,EVIDENCE_BASELINE,BASELINE,all_current_supported_parameters,current_pipeline_value,REPORTED_OR_DERIVED_OR_EXPLICITLY_NORMALIZED,True,Use the current literature-grounded device description. Unknown parameters remain unknown and are not silently imputed.
TiOx_02_Au,EVIDENCE_BASELINE,BASELINE,all_current_supported_parameters,current_pipeline_value,REPORTED_OR_DERIVED_OR_EXPLICITLY_NORMALIZED,True,Use the current literature-grounded device description. Unknown parameters remain unknown and are not silently imputed.
TiOx_02_Au,STATE_COUNT_UNKNOWN,MISSING_DATA,physical_state_count,DO_NOT_IMPUTE_POINT_VALUE,MISSING,True,Do not convert gradual/analog behavior into an invented fixed state count. A bounded hypothetical sweep belongs in sensitivity analysis.
TiOx_02_Au,STATE_COUNT_SENSITIVITY,HYPOTHETICAL_SENSITIVITY,physical_state_count,2|4|8|16|32|64,ASSUMED_RANGE,False,Exploratory range only. These values are NOT literature measurements for this device and must be labeled as hypothetical.
TiOx_02_Au,IDEALIZED_MAPPING_BASELINE,MODEL_ASSUMPTION,mapping_nonideality,idealized,ASSUMED_BASELINE,True,"Current baseline assumes idealized mapping. Noise, variability and drift are not claimed to be represented here; they are deferred to the nonideality stage."
TiOx_02_Ni,EVIDENCE_BASELINE,BASELINE,all_current_supported_parameters,current_pipeline_value,REPORTED_OR_DERIVED_OR_EXPLICITLY_NORMALIZED,True,Use the current literature-grounded device description. Unknown parameters remain unknown and are not silently imputed.
TiOx_02_Ni,STATE_COUNT_UNKNOWN,MISSING_DATA,physical_state_count,DO_NOT_IMPUTE_POINT_VALUE,MISSING,True,Do not convert gradual/analog behavior into an invented fixed state count. A bounded hypothetical sweep belongs in sensitivity analysis.
TiOx_02_Ni,STATE_COUNT_SENSITIVITY,HYPOTHETICAL_SENSITIVITY,physical_state_count,2|4|8|16|32|64,ASSUMED_RANGE,False,Exploratory range only. These values are NOT literature measurements for this device and must be labeled as hypothetical.
TiOx_02_Ni,IDEALIZED_MAPPING_BASELINE,MODEL_ASSUMPTION,mapping_nonideality,idealized,ASSUMED_BASELINE,True,"Current baseline assumes idealized mapping. Noise, variability and drift are not claimed to be represented here; they are deferred to the nonideality stage."
TiOx_02_Pt,EVIDENCE_BASELINE,BASELINE,all_current_supported_parameters,current_pipeline_value,REPORTED_OR_DERIVED_OR_EXPLICITLY_NORMALIZED,True,Use the current literature-grounded device description. Unknown parameters remain unknown and are not silently imputed.
TiOx_02_Pt,STATE_COUNT_UNKNOWN,MISSING_DATA,physical_state_count,DO_NOT_IMPUTE_POINT_VALUE,MISSING,True,Do not convert gradual/analog behavior into an invented fixed state count. A bounded hypothetical sweep belongs in sensitivity analysis.
TiOx_02_Pt,STATE_COUNT_SENSITIVITY,HYPOTHETICAL_SENSITIVITY,physical_state_count,2|4|8|16|32|64,ASSUMED_RANGE,False,Exploratory range only. These values are NOT literature measurements for this device and must be labeled as hypothetical.
TiOx_02_Pt,IDEALIZED_MAPPING_BASELINE,MODEL_ASSUMPTION,mapping_nonideality,idealized,ASSUMED_BASELINE,True,"Current baseline assumes idealized mapping. Noise, variability and drift are not claimed to be represented here; they are deferred to the nonideality stage."
TiOx_03,EVIDENCE_BASELINE,BASELINE,all_current_supported_parameters,current_pipeline_value,REPORTED_OR_DERIVED_OR_EXPLICITLY_NORMALIZED,True,Use the current literature-grounded device description. Unknown parameters remain unknown and are not silently imputed.
TiOx_03,ABSOLUTE_CONDUCTANCE_MISSING,MISSING_DATA,absolute_RON_ROFF,DO_NOT_IMPUTE,MISSING,True,Only the reported ON/OFF ratio is used. Absolute resistance must not be fabricated from an unsupported point estimate.
TiOx_03,STATE_COUNT_UNKNOWN,MISSING_DATA,physical_state_count,DO_NOT_IMPUTE_POINT_VALUE,MISSING,True,Do not convert gradual/analog behavior into an invented fixed state count. A bounded hypothetical sweep belongs in sensitivity analysis.
TiOx_03,STATE_COUNT_SENSITIVITY,HYPOTHETICAL_SENSITIVITY,physical_state_count,2|4|8|16|32|64,ASSUMED_RANGE,False,Exploratory range only. These values are NOT literature measurements for this device and must be labeled as hypothetical.
TiOx_03,IDEALIZED_MAPPING_BASELINE,MODEL_ASSUMPTION,mapping_nonideality,idealized,ASSUMED_BASELINE,True,"Current baseline assumes idealized mapping. Noise, variability and drift are not claimed to be represented here; they are deferred to the nonideality stage."
TiOx_04,EVIDENCE_BASELINE,BASELINE,all_current_supported_parameters,current_pipeline_value,REPORTED_OR_DERIVED_OR_EXPLICITLY_NORMALIZED,True,Use the current literature-grounded device description. Unknown parameters remain unknown and are not silently imputed.
TiOx_04,ABSOLUTE_CONDUCTANCE_MISSING,MISSING_DATA,absolute_RON_ROFF,DO_NOT_IMPUTE,MISSING,True,Only the reported ON/OFF ratio is used. Absolute resistance must not be fabricated from an unsupported point estimate.
