future_research_rank,research_tier,candidate_on_off_ratio,candidate_mode,candidate_state_count,crossbar_size,requested_weight_bits,adc_bits,predicted_accuracy,historical_mean_abs_error_pp,validation_adjusted_score,accuracy_margin_pp,relative_hardware_cost_proxy,matched_device_id,matched_study_id,matched_family,matched_on_off_ratio,matched_mode,match_class,match_distance,matched_evidence_coverage_fraction,matched_scenario_status,matched_scenario_reasons,experimental_direction,is_material_identity_prediction,is_structure_prediction,requires_new_experimental_validation
1,TIER_A_INTERPOLATIVE_GAP,3.718072,GRADUAL_MULTILEVEL,0,256,7,8,96.24401705555556,0.2082744928715715,96.035742562684,0.5357425626840069,2560,TiOx_02_Pt,10.1038/s41598-019-44607-3,TiOx,2.128684,GRADUAL_MULTILEVEL,CLOSE_EXISTING_PROFILE,0.2422065997278627,0.5,ASSUMPTION_SENSITIVE,fixed physical state count not reported; accelerator mapping is idealized,"Explore gradual-multilevel switching near ON/OFF≈3.71807, using TiOx_02_Pt as the nearest literature anchor. Preserve gradual conductance tuning while experimentally checking absolute RON/ROFF, update linearity, variability and retention.",False,False,True
2,TIER_A_INTERPOLATIVE_GAP,140.785336,ANALOG,0,256,6,8,96.2769628968254,0.2188801797979797,96.05808271702742,0.5580827170274176,2560,TiOx_03,10.1016/j.spmi.2017.10.031,TiOx,80.0,ANALOG,CLOSE_EXISTING_PROFILE,0.2454674346753875,0.25,ASSUMPTION_SENSITIVE,absolute RON/ROFF unavailable; normalized from ratio; fixed physical state count not reported; accelerator mapping is idealized,"Explore an analog-switching device region near ON/OFF≈140.785, using TiOx_03 only as the nearest literature anchor. Experimentally verify analog update behavior, absolute conductance, variability and retention before accelerator claims.",False,False,True
3,TIER_A_INTERPOLATIVE_GAP,45.4,ANALOG,0,256,6,8,96.25850556349204,0.2188801797979797,96.03962538369407,0.539625383694073,2560,TiOx_03,10.1016/j.spmi.2017.10.031,TiOx,80.0,ANALOG,CLOSE_EXISTING_PROFILE,0.2460341341348395,0.25,ASSUMPTION_SENSITIVE,absolute RON/ROFF unavailable; normalized from ratio; fixed physical state count not reported; accelerator mapping is idealized,"Explore an analog-switching device region near ON/OFF≈45.4, using TiOx_03 only as the nearest literature anchor. Experimentally verify analog update behavior, absolute conductance, variability and retention before accelerator claims.",False,False,True
4,TIER_A_INTERPOLATIVE_GAP,140.785336,GRADUAL_MULTILEVEL,0,256,6,8,96.271993496337,0.2188801797979797,96.05311331653904,0.5531133165390258,2560,TiOx_04,10.1007/s42835-019-00107-y,TiOx,76.0,GRADUAL_MULTILEVEL,CLOSE_EXISTING_PROFILE,0.2677438293865395,0.25,ASSUMPTION_SENSITIVE,absolute RON/ROFF unavailable; normalized from ratio; fixed physical state count not reported; accelerator mapping is idealized,"Explore gradual-multilevel switching near ON/OFF≈140.785, using TiOx_04 as the nearest literature anchor. Preserve gradual conductance tuning while experimentally checking absolute RON/ROFF, update linearity, variability and retention.",False,False,True
5,TIER_A_INTERPOLATIVE_GAP,41.92543,ANALOG,0,256,6,8,96.25850556349204,0.2188801797979797,96.03962538369407,0.539625383694073,2560,TiOx_03,10.1016/j.spmi.2017.10.031,TiOx,80.0,ANALOG,CLOSE_EXISTING_PROFILE,0.2806124614342842,0.25,ASSUMPTION_SENSITIVE,absolute RON/ROFF unavailable; normalized from ratio; fixed physical state count not reported; accelerator mapping is idealized,"Explore an analog-switching device region near ON/OFF≈41.9254, using TiOx_03 only as the nearest literature anchor. Experimentally verify analog update behavior, absolute conductance, variability and retention before accelerator claims.",False,False,True
6,TIER_A_INTERPOLATIVE_GAP,22.879029,GRADUAL_MULTILEVEL,0,256,6,8,96.26185204395604,0.2188801797979797,96.04297186415808,0.5429718641580763,2560,HfOx_01,10.1109/TNANO.2024.3485213,HfOx,45.4,GRADUAL_MULTILEVEL,CLOSE_EXISTING_PROFILE,0.2976182640687399,0.5,ASSUMPTION_SENSITIVE,fixed physical state count not reported; accelerator mapping is idealized,"Explore gradual-multilevel switching near ON/OFF≈22.879, using HfOx_01 as the nearest literature anchor. Preserve gradual conductance tuning while experimentally checking absolute RON/ROFF, update linearity, variability and retention.",False,False,True
7,TIER_A_INTERPOLATIVE_GAP,1587.512707,DISCRETE_MULTILEVEL,8,256,4,8,96.03978975829726,0.2036597221212104,95.83613003617604,0.3361300361760442,2560,TaOx_01,10.1038/s41598-017-18329-3,TaOx,2909.09,DISCRETE_MULTILEVEL,CLOSE_EXISTING_PROFILE,0.3593624861948765,1.0,LITERATURE_CONSTRAINED,none,"Explore a discrete-multilevel device near ON/OFF≈1587.51 with about 8 stable states. Nearest literature anchor: TaOx_01. The state count must be demonstrated experimentally; verify state separation, programming repeatability, retention and variability.",False,False,True
8,TIER_A_INTERPOLATIVE_GAP,5.0,GRADUAL_MULTILEVEL,0,256,7,8,96.24401705555556,0.2082744928715715,96.035742562684,0.5357425626840069,2560,TiOx_02_Pt,10.1038/s41598-019-44607-3,TiOx,2.128684,GRADUAL_MULTILEVEL,CLOSE_EXISTING_PROFILE,0.3708588084881598,0.5,ASSUMPTION_SENSITIVE,fixed physical state count not reported; accelerator mapping is idealized,"Explore gradual-multilevel switching near ON/OFF≈5, using TiOx_02_Pt as the nearest literature anchor. Preserve gradual conductance tuning while experimentally checking absolute RON/ROFF, update linearity, variability and retention.",False,False,True
9,TIER_A_INTERPOLATIVE_GAP,12.485261,ANALOG,0,256,7,8,96.23923455555556,0.2082744928715715,96.030960062684,0.5309600626840023,2560,HfOx_02,10.1088/2634-4386/ac7327,HfOx,5.0,ANALOG,CLOSE_EXISTING_PROFILE,0.3974276212199891,0.25,ASSUMPTION_SENSITIVE,absolute RON/ROFF unavailable; normalized from ratio; fixed physical state count not reported; accelerator mapping is idealized,"Explore an analog-switching device region near ON/OFF≈12.4853, using HfOx_02 only as the nearest literature anchor. Experimentally verify analog update behavior, absolute conductance, variability and retention before accelerator claims.",False,False,True
10,TIER_B_MODERATE_GAP,6.813303,GRADUAL_MULTILEVEL,0,256,7,8,96.24401705555556,0.2082744928715715,96.035742562684,0.5357425626840069,2560,TiOx_02_Pt,10.1038/s41598-019-44607-3,TiOx,2.128684,GRADUAL_MULTILEVEL,MODERATE_GAP,0.5052465073880192,0.5,ASSUMPTION_SENSITIVE,fixed physical state count not reported; accelerator mapping is idealized,"Explore gradual-multilevel switching near ON/OFF≈6.8133, using TiOx_02_Pt as the nearest literature anchor. Preserve gradual conductance tuning while experimentally checking absolute RON/ROFF, update linearity, variability and retention.",False,False,True
